trading_dt;operation_perc
2022-02-11;-0,0453
2022-02-15;0,0369
2022-02-16;0,1487
2022-02-17;0,067
2022-02-18;0,0313
2022-02-21;-0,1369
2022-02-22;0,2079
2022-02-24;-0,0064
2022-02-25;-0,1588
2022-03-31;-0,0015
2022-04-04;-0,0011
2022-04-05;0,2124
2022-04-06;0,0283
2022-04-13;0,0566
2022-04-19;0,0316
2022-04-20;-0,0547
2022-04-21;-0,0229
2022-04-22;-0,0946
2022-04-25;0,0638
2022-04-26;-0,0516
2022-04-27;-0,1013
2022-04-29;0,0848
2022-05-11;0,1014
2022-05-18;0,1495
2022-05-19;-0,2081
2022-05-23;-0,1246
2022-05-30;0,0161
2022-06-01;0,0321
2022-06-03;0,1903
2022-06-07;0,0482
2022-06-16;0,0206
2022-06-20;0,0304
2022-06-23;0,0238
2022-06-24;0,0256
2022-07-04;0,1357
2022-07-05;-0,0469
2022-07-07;0,0253
2022-07-14;0,1807
2022-07-15;0,0844
2022-07-18;0,04
2022-07-19;0,0158
2022-07-20;0,0412
2022-07-21;0,0244
2022-07-22;-0,0159
2022-07-26;0,0923
2022-07-27;0,0463
2022-07-28;-0,1034
2022-07-29;-0,0601
2022-08-01;-0,0697
2022-08-02;0,0301
2022-08-04;0,0847
2022-08-05;-0,1536
2022-08-08;0,0137
2022-08-10;0,0417
2022-08-12;-0,0145
2022-08-15;-0,0876
2022-08-17;0,0872
2022-08-18;-0,0488
2022-08-22;0,1777
2022-08-23;-0,1328
2022-08-24;0,1776
2022-08-26;0,0184
2022-08-29;-0,0539
2022-08-30;-0,0291
2022-08-31;0,0087
2022-09-07;0,0088
2022-09-08;-0,027
2022-09-12;0,0608
2022-09-13;0,059
2022-09-14;-0,0001
2022-09-15;0,0182
2022-09-19;0,1705
2022-09-20;0,0555
2022-09-21;-0,0483
2022-09-22;-0,0196
2022-09-23;-0,1874
2022-09-26;-0,0187
2022-09-27;-0,0709
2022-09-28;0,0407
2022-09-29;-0,0357
2022-09-30;0,0297
2022-10-03;0,003
2022-10-04;-0,0363
2022-10-05;0,0002
2022-10-07;0,0368
2022-10-10;0,0527
2022-10-11;-0,0002
2022-10-12;-0,0596
2022-10-13;0,0336
2022-10-14;0,1454
2022-10-17;0,0501
2022-10-18;-0,0001
2022-10-19;0,0187
2022-10-21;0,0259
2022-10-24;0,0345
2022-10-25;0,0125
2022-10-26;-0,0679
2022-10-27;0,0404
2022-10-28;0,0163
2022-10-31;0,0406
2022-11-01;-0,0557
2022-11-02;-0,1304
2022-11-03;0,0048
2022-11-07;0,02
2022-11-08;-0,02
2022-11-10;0,0259
2022-11-11;-0,0105
2022-11-14;0,037
2022-11-15;0,0567
2022-11-16;0,0385
2022-11-17;-0,0195
2022-11-21;0,0832
2022-11-22;0,165
2022-11-23;0,0261
2022-11-24;0,0003
2022-11-25;-0,1356
2022-11-28;-0,0749
2022-11-29;-0,0111
2022-11-30;-0,0329
2022-12-01;-0,018
2022-12-02;0,3926
2022-12-05;0,0384
2022-12-06;-0,0099
2022-12-07;-0,3928
2022-12-08;0,0251
2022-12-09;0,0924
2022-12-12;0,0068
2022-12-13;0,0167
2022-12-14;0,0305
2022-12-15;0,0158
2022-12-16;-0,0432
2022-12-19;0,0169
2022-12-20;0,0901
2022-12-21;-0,0015
2022-12-22;-0,018
2022-12-23;0,0202
2022-12-26;0,052
2022-12-27;-0,0007
2022-12-28;-0,0263
2022-12-30;-0,0502
2023-01-04;-0,051
2023-01-11;0,0934
2023-01-12;-0,103
2023-01-13;0,0621
2023-01-16;-0,0326
2023-01-17;0,0434
2023-01-19;0,0166
2023-01-20;0,028
2023-01-23;-0,0142
2023-01-24;-0,0094
2023-01-25;0,0351
2023-01-26;0,1583
2023-01-27;0,0783
2023-01-30;-0,0127
2023-01-31;-0,0175
2023-02-01;0
2023-02-02;0,0466
2023-02-03;0,0384
2023-02-06;-0,063
2023-02-07;0,1605
2023-02-08;-0,0431
2023-02-09;0,052
2023-02-10;0,1313
2023-02-13;-0,0613
2023-02-14;-0,0242
2023-02-15;-0,0184
2023-02-16;-0,0328
2023-02-17;0,0294
2023-02-20;0,0244
2023-02-21;0,0104
2023-02-22;0,0063
2023-02-24;0,0544
2023-02-27;0,0179
2023-02-28;-0,0269
2023-03-01;-0,0466
2023-03-02;-0,0559
2023-03-03;0,0304
2023-03-06;0,0148
2023-03-07;0,0207
2023-03-09;0,0571
2023-03-10;0,0213
2023-03-13;0,0392
2023-03-14;0,0143
2023-03-15;0,038
2023-03-16;0,1048
2023-03-17;-0,2248
2023-03-20;0,008
2023-03-21;0,0314
2023-03-22;0,0488
2023-03-23;-0,0341
2023-03-24;0,0915
2023-03-27;0,0093
2023-03-28;-0,0427
2023-03-29;0,0399
2023-03-30;-0,0323
2023-03-31;-0,0015
2023-04-03;-0,0083
2023-04-05;-0,0427
2023-04-06;0,2921
2023-04-07;0,0017
2023-04-10;-0,2005
2023-04-11;-0,0131
2023-04-17;-0,0574
2023-04-18;-0,0392
2023-04-19;0,1184
2023-04-20;-0,0878
2023-04-21;0,0025
2023-04-24;0,1868
2023-04-25;-0,0923
2023-04-26;0,088
2023-04-27;0,0873
2023-04-28;-0,4376
2023-05-02;-0,0335
2023-05-03;0,0007
2023-05-04;0,0269
2023-05-08;0,0406
2023-05-10;0,0155
2023-05-11;-0,1366
2023-05-12;0,0623
2023-05-15;0,0614
2023-05-16;0,0243
2023-05-17;0,0233
2023-05-18;-0,058
2023-05-19;-0,0191
2023-05-22;-0,0773
2023-05-23;-0,1331
2023-05-24;0,0009
2023-05-25;0,0112
2023-05-26;0,1259
2023-05-29;-0,0213
2023-05-30;-0,0319
2023-05-31;-0,1251
2023-06-01;0,0418
2023-06-02;0,0609
2023-06-05;-0,1257
2023-06-06;0,102
2023-06-07;-0,0251
2023-06-08;-0,0406
2023-06-09;0,0341
2023-06-13;-0,0713
2023-06-14;-0,0686
2023-06-15;-0,008
2023-06-16;0,0342
2023-06-19;-0,0113
2023-06-20;-0,0788
2023-06-22;0,0328
2023-06-23;0,0044
2023-06-26;0,0847
2023-06-27;0,0039
2023-06-28;0,0252
2023-06-29;0,0571
2023-06-30;0,1033
2023-07-03;0,0244
2023-07-04;0,0108
2023-07-07;0,0078
2023-07-10;0,1426
2023-07-11;-0,0171
2023-07-12;-0,0368
2023-07-14;0,0246
2023-07-17;0,0605
2023-07-18;-0,1349
2023-07-19;0,0157
2023-07-20;0,078
2023-07-21;-0,0867
2023-07-24;0,0613
2023-07-25;-0,0969
2023-07-26;-0,0355
2023-07-27;0,4343
2023-07-28;-0,0148
2023-07-31;-0,0866
2023-08-01;-0,0317
2023-08-02;-0,1439
2023-08-03;-0,0508
2023-08-04;-0,0171
2023-08-07;0,0085
2023-08-08;0,0017
2023-08-09;-0,0002
2023-08-10;-0,0794
2023-08-11;-0,0867
2023-08-14;0,0226
2023-08-15;-0,0237
2023-08-16;-0,0355
2023-08-17;-0,0106
2023-08-18;-0,0105
2023-08-21;-0,0441
2023-08-22;0,1465
2023-08-23;-0,0146
2023-08-24;0,0637
2023-08-25;-0,0591
2023-08-28;0,0648
2023-08-29;-0,0288
2023-08-30;-0,0964
2023-08-31;0,5308
2023-09-01;0,0748
2023-09-04;0,0613
2023-09-05;-0,0268
2023-09-06;-0,0363
2023-09-07;0,0702
2023-09-08;0,092
2023-09-11;0,012
2023-09-12;0,2165
2023-09-13;-0,1425
2023-09-14;0,0661
2023-09-15;-0,1236
2023-09-18;0,0621
2023-09-19;0,1077
2023-09-20;0,1553
2023-09-21;-0,3682
2023-09-22;0,0264
2023-09-25;0,0258
2023-09-26;0,0182
2023-09-27;0,0644
2023-09-28;0,002
2023-10-03;0,0112
2023-10-04;0,0614
2023-10-05;0,2802
2023-10-06;-0,0902
2023-10-09;-0,0921
2023-10-10;0,0073
2023-10-11;-0,0724
2023-10-12;-0,1013
2023-10-13;0,2196
2023-10-16;0,027
2023-10-17;0,0104
2023-10-18;0,0371
2023-10-19;-0,111
2023-10-20;-0,0058
2023-10-23;0,044
2023-10-24;0,185
2023-10-25;-0,0188
2023-10-26;-0,2139
2023-10-27;0,0132
2023-10-30;0,007
2023-10-31;-0,0801
2023-11-02;0,0077
2023-11-03;0,0437
2023-11-06;-0,0246
2023-11-07;0,1141
2023-11-08;-0,0522
2023-11-10;0,0264
2023-11-13;0,0285
2023-11-14;0,0973
2023-11-15;-0,0363
2023-11-16;0,0741
2023-11-17;-0,0064
2023-11-20;0,1456
2023-11-21;0,2703
2023-11-22;0,0066
2023-11-23;-0,0152
2023-11-24;0,2021
2023-11-27;0,0922
2023-11-28;0,0656
2023-11-29;-0,0418
2023-11-30;0,0301
2023-12-01;0,0621
2023-12-04;-0,0899
2023-12-05;0,0489
2023-12-06;-0,0357
2023-12-07;0,056
2023-12-08;0,0471
2023-12-11;-0,0566
2023-12-12;0,0977
2023-12-13;0,1146
2023-12-14;-0,1626
2023-12-15;0,0518
2023-12-18;-0,0255
2023-12-19;0,0216
2023-12-20;-0,0567
2023-12-22;-0,0294
2023-12-25;0,071
2023-12-26;-0,0006
2023-12-27;0,0473
2023-12-28;0,1543
2023-12-29;0,0165
2024-01-03;0,0287
2024-01-04;-0,0999
2024-01-05;0,006
2024-01-08;0,1002
2024-01-09;-0,0285
2024-01-10;-0,0177
2024-01-11;0,02
2024-01-12;-0,0016
2024-01-15;-0,0134
2024-01-16;0,0013
2024-01-17;-0,0314
2024-01-18;-0,0487
2024-01-19;0,0484
2024-01-22;0,0271
2024-01-23;-0,0916
2024-01-24;0,0454
2024-01-25;-0,0119
2024-01-26;-0,0278
2024-01-29;0,0144
2024-01-30;-0,0678
2024-01-31;-0,072
2024-02-01;-0,0488
2024-02-02;0,0459
2024-02-05;-0,0803
2024-02-06;0,1631
2024-02-07;-0,0601
2024-02-08;0,1529
2024-02-09;-0,2622
2024-02-12;-0,1046
2024-02-13;0,0391
2024-02-14;0,2275
2024-02-15;-0,0224
2024-02-16;-0,0014
2024-02-19;0,063
2024-02-20;0,0641
2024-02-21;0,0224
2024-02-22;0,2628
2024-02-26;0,0528
2024-02-27;0,0034
2024-02-28;0,0256
2024-02-29;0,1708
2024-03-01;-0,0002
2024-03-04;-0,0867
2024-03-05;0,0143
2024-03-06;0,014
2024-03-07;0,0136
2024-03-11;-0,0547
2024-03-12;0,0372
2024-03-13;-0,006
2024-03-14;-0,2101
2024-03-15;0,0068
2024-03-18;-0,0137
2024-03-19;-0,0208
2024-03-20;0,086
2024-03-21;-0,221
2024-03-22;-0,049
2024-03-25;0,0493
2024-03-26;-0,1422
2024-03-27;0,0504
2024-03-28;-0,1721
2024-03-29;0,0989
2024-04-01;-0,1207
2024-04-02;-0,0174
2024-04-03;0,0045
2024-04-04;0,1028
2024-04-05;-0,0337
2024-04-08;0,0897
2024-04-09;-0,0689
2024-04-10;0,1559
2024-04-11;-0,4039
2024-04-12;0,0964
2024-04-13;0,0819
2024-04-15;-0,0723
2024-04-16;0,0024
2024-04-17;-0,4935
2024-04-18;-0,1128
2024-04-19;-0,0153
2024-04-22;0,0738
2024-04-23;0,154
2024-04-24;0,1043
2024-04-25;0,0716
2024-04-26;0,1398
2024-04-27;-0,1569
